용어,초성,설명
집행유예(執行猶豫),ㅈ,"집행유예란 형의 선고는 하면서도 정상을 참작하여 형의 집행을 일정한 기간 유예하고, 그 기간을 무사히 경과하면 형의 선고를 실효케 하는 제도이다.
집행유예(執行猶豫)는 3년이하의 징역이나 금고의 형을 선고할 경우에 정상을 참작할 사유가 있는 때에는 1년이상 5년이하의 기간 형의 집행을 유예(猶豫)할 수 있다(형법 제62조 이하)."
징역(懲役),ㅈ,징역이란 수형자(受刑者)를 교도소 내에 구치하여 정역(定役)에 복무하게 하는 것을 내용으로 하는 자유형 가운데 가장 무거운 형벌이다. 징역에는 무기징역과 유기징역의 2종이 있다. 무기징역은 종신형이지만 10년이 경과한 후에는 가석방이 가능하다는 점에서 자유형의 사회복귀적 기능이 유지되고 있다고 할 수 있다. 유기징역은 1월 이상 15년 이하이나 형을 가중하는 때에는 25년까지로 한다.
차순위매수신고(次順位買受申告),ㅊ,"법원경매에서 최고가매수신고인 이외의 매수신고인 중 자신의 신고액이 최고가매수신고액에서 그 보증을 공제한 금액을 넘는 매수신고인이, 집행관에게 최고가매수신고인이 대금지급기일에 그 의무를 이행하지 아니하는 경우에 자기의 매수신고에 대하여 경락을 허가하여 달라는 취지의 신고를 하는 것을 의미한다(민사소송법 제626조의2).
차순위매수신고는 경매의 종결시까지 해야 하며 차순위매수신고를 한 자가 2인이상인 때에는 신고한 매수가격이 높은 사람을 차순위매수신고인으로 정하고 신고한 매수가격이 같은 때에는 추첨에 의하여 차순위매수신고인을 정한다(동법 제627조).
차순위매수신고를 한 자에게는 보증금을 반환하지 않으며, 법원은 차순위매수신고인이 있는 경우에 경락인이 대금지급기일에 그 의무를 이행하지 아니할 때에는 차순위매수신고인에 대한 경락허부를 결정하여야 한다. 차순위매수신고인에 대한 경락허가결정이 있는 때에는 경락인은 매수의 보증으로 보관하게 한 금전이나 유가증권의 반환을 청구하지 못한다(동법 제647조의2)."
차임(借賃),ㅊ,"임대차에 있어서 임차물 사용의 대가로서 지급되는 금전 그 밖의 물건을 말한다. 토지의 경우에는 지료, 가옥의 경우에는 가임이라고도 한다. 민법에서는 지상권의 경우에는 지료, 임대차에서는 차임이라는 용어를 사용하고 있다. 차임의 금액은 계약에  의하여 자유로이 정할 수 있는 것이 원칙이다.
다만 약정한 차임이 그 후의 사정의 변경에 의하여 상당하지 아니하게 된  때에는 당사자는 장래에 대한 차임의 증감을 청구할 수 있다. 차임은 특약이 없는 한  동산 또는 건물이나 대지에 대하여는 매월말에, 기타 토지에 관하여는 매년말에, 수확기 있는 것에 관하여는 그 수확 후에 지체없이 지급되어야 한다.
임차인이 차임지급을 연체한 때에는 해지원인이 된다. 다만, 민법은 특히 건물 그 밖의  공작물 등의 임대차의 경우에는 임차인을 보호하기 위하여 차임연체액이 2기의 차임액에 달해야 계약을 해지할 수 있는 것으로 하고 있다. 전대차의 경우에는 전차인에 대한 차임의 지급으로써 임대인에게 대항하지 못한다."
차임증감청구권(借賃增減請求權),ㅊ,"차임의 약정 후 임대인 또는 임차인이 차임의 증액 또는 감액을 청구하는 권리를 말한다. 민법에서는 임차물의 일부가 임차인의 과실 없이 멸실 그 밖의 사유로 인하여 사용ㆍ수익할 수 없게 된 때와 임대물에 대한 공과부담의 증감 그 밖의 경제사정의 변동으로 인하여 약정한 차임이 상당하지 않게 된 때 인정한다.
이것은 공평의 관념에 입각한 규정이며, 신의성실의 원칙에 의한 사정변경의 원칙의 적용의 예이다. 그 어느 것이나 그 법률적 성질은 일종의 형성권이며, 따라서 당사자의 청구가 있으면 당연히 차임은 상당액으로 증감된다."
"차주(借主, creditor, lessee, remter, tenant)",ㅊ,"차주란 대차 계약에서 빌리는 측의 사람을 말한다. 임대차인 경우에는 임차인을 의미한다. 또 그 물건에 따라 차가인(借家人), 차지인(借地人)이라 하는 경우도 있다. 이에 대하여 빌려주는 사람을 대주(貸主)라고도 한다."
참가압류(參加押留),ㅊ,"참가압류란 국세, 지방세 등 조세채권에 관하여 징수권자가 집행법원 등 다른 기관에 의하여 이미 개시되어 있는 경매 절차에 참가하여 압류하는 제도를 말한다. 징수권자는 그 재산을 이미 압류한 기관에 참가압류통지서를 송달함으로써 그 압류에 참가할 수 있다. 압류에 참가한 때에는 그 뜻을 체납자와 그 재산에 대하여 권리를 가진 제3자에게 통지하여야 하며, 참가압류하고자 하는 재산이 권리의 변동에 있어서 등기 또는 등록을 요하는 것인 때에는 참가압류의 등기 또는 등록을 관계관서에 촉탁하여야 한다(국세징수법 제57조).
참가압류를 한 후에 기압류기관이 그 재산에 대한 압류를 해제한 때에는 그 참가압류는 다음 각호의 구분에 따라 소급하여 압류의 효력이 생긴다. 또한, 권리의 변동에 있어서 등기 또는 등록을 요하는 재산에 대하여 2이상의 참가압류가 있는 때에는 그중 가장 먼저 등기 또는 등록된 것으로 하고 기타의 재산에 대하여 2이상의 참가압류가 있는 때에는 그중 가장 먼저 참가압류통지서가 송달된 것으로 한다.(제58조)
1. 권리의 변동에 있어서 등기 또는 등록을 요하는 재산외의 재산에 대하여는 참가압류통지서가 기압류기관에 송달된 때
2. 권리의 변동에 있어서 등기 또는 등록을 요하는 재산에 대하여는 참가압류의 등기 또는 등록이 완료된 때
압류에 참가한 세무서장은 기압류기관이 그 압류재산을 장기간이 경과하도록 매각하지 아니하는 경우에는 이에 대한 매각처분을 기압류기관에 최고할 수 있다."
참여중개(參與仲介) = 매개중개(媒介仲介),ㅊ,중개업자가 중개대상물에 대하여 중개완성(仲介完成)을 위한 거래당사자간에 법률행위를 주선하는 일체의 중개행위를 의미한다. 거래당사자의 법률행위를 주선한다고 해서 매개중개(媒介仲介)라고 부르기도 한다. 현행 부동산중개업법은 참여중개를 중심으로 중개행위를 규율하고 있다.
창고(倉庫),ㅊ,창고라 함은 물건의 멸실 또는 훼손을 방지하기 위한 보관시설 또는 보관장소를 말한다(화물유통촉진법 제2조제9호).
창고시설(倉庫施設),ㅊ,위험물저장 및 처리시설 또는 그 부속용도에 해당하지 아니하는 시설로서 창고(물품저장시설로서 냉장ㆍ냉동창고를 포함한다)나 하역장의 용도로 사용되는 건축물을 의미한다(건축법시행령 별표1).
채권(債券),ㅊ,"채권이라 함은 특정인(채권자)이 타인(채무자)에 대하여 일정한 행위(급부)를 요구할 수 있는 권리를 말한다. 반면에 그러한 급부를 하여야 할 의무를 채무라 한다. 또한, 채권과 채무로 인하여 결합되는 당사자의 관계를 채권관계라 한다. 물권과 채권의 차이는 물권은 물건에 대한 지배권을 갖는데 대하여 채권은 사람에 대한 청구권으로서 배타성이 없다. 따라서 동일한 물건에 물권과 채권이 성립하면 물권이 우선한다. 채무자가 채무를 이행하지 않는 때에는 채권자는 원칙적으로 강제이행을 구하거나 손해배상을 청구할 수 있다. 또한 일정한 요건하에서 채권자대위권과 채권자취소권을 행사할 수 있다."
채권(債券),ㅊ,"채권이란 사채를 표창하는 유가증권을 의미한다. 사채권이라고도 한다. 상법 제65조의 금전의 지급을 목적으로 하는 유가증권에 속하며, 그 규정의 적용을 받는다. 채권의 발행은 사채전액의 납입이 완료된 후가 아니면 발행할 수 없고, 방식은 법정되어 있다. 그 종류로는 기명식과 무기명식이 있다."
채권유동화(債權流動化),ㅊ,"주택저당채권유동화회사법에서 채권유동화라 함은 다음 각목의 1에 해당하는 것을 말한다(제2조제1호).
  가. 주택저당채권유동화회사가 금융기관으로부터 주택저당채권을 양도받아 이를 담보로 하여 주택저당채권담보부채권을 발행하고 원리금을 지급하는 행위
  나. 주택저당채권유동화회사가 금융기관으로부터 주택저당채권을 양도받아 이를 기초로 주택저당증권을 발행하고 그 주택저당채권의 관리ㆍ운용 및 처분에 의한 수익을 분배하는 행위"
채권전세(債券傳貰),ㅊ,"전세권은 물권의 일종으로서 등기를 필요로 하나, 대부분의 전세는 임대인이 전세권 설정등기를 회피함에 따라 전세권설정등기가 이루어지지 않고 있다. 결국 전세권등기가 되지 않은 전세는 물권으로서의 전세권이 될 수 없으나, 임대인과 임차인 상호간에는 임대목적 부동산에 관한 채권 형태의 사용권이 이루어지는 것으로 물권적 전세에 대비하기 위하여 전세권등기가 없는 전세를 채권적 전세 또는 채권전세라고 한다.
채권전세 혹은 채권적 전세의 목적물이 주택일 경우에는 주택임대차보호법의 적용을 받게 된다."
채권행위(債權行爲),ㅊ,"채권행위라 함은 채권의 발생을 목적으로 하는 법률행위로서 장차 이로 발생한 채권, 채무에 관하여 이행의 문제가 남는다. 채권행위는 대부분 계약으로 이루어진다.
물권행위와 채권행위는 대립되는 개념으로 실제에 있어서는 채권행위의 이행으로써, 물권행위가 행해지는 경우가 많다. 채권행위가 물권행위의 원인이 되는 경우에 그 채권행위를 물권행위(物權行爲)의 원인행위(原因行爲)라고 일컫는다. 그러나 경우에 따라서는 채권행위와 물권행위가 쉽게 합치하여 외형상 1개의 행위로 행해지는 경우도 있으나 서로 구별되는 개념이다.
채권행위도 중개대상물에 대한 거래당사자간의 권리의 득실(得失)ㆍ변경(變更)에 대한 행위 즉, 중개행위의 대상인 채권행위에 대한 법률관계로서, 이에는 매매와 환매, 재매매의 예약, 교환, 증여, 임대차 등이 포함된다."
채무(債務),ㅊ,"채권이 특정인(채권자)이 타인(채무자)에 대하여 일정한 행위(급부)를 요구할 수 있는 권리인데 반하여, 그러한 급부를 하여야 할 의무를 債務라 한다(상세한 사항은 채권 용어해설 참조)."
채무명의(債務名義),ㅊ,"채무명의라 함은 일정한 사법상의 이행의무의 존재를 증명하고 법률이 강제집행에 의하여 실현할 수 있는 집행력을 인정한 공정증서를 말한다. 다시 말해 채권자에게 강제집행을 신청할 수 있는 권한을 부여한 증서를 채무명의라고 한다. 채무명의에는 집행문이 부여되어야 집행력이 있다.
집행력 있는 채무명의란 ① 확정판결문 및 가집행선고있는 판결(민사소송법 제469조 및 제519조), ② 지급명령, ③ 공정증서, ④ 화해조서, ⑤ 청구의 인락조서, ⑥ 조정조서, ⑦ 검사의 집행명령서(과태료:민사소송법제523조2항), ⑧ 판결이외의 보전집행채무명의(가압류, 가처분결정)등을 의미한다."
"채무불이행(債務不履行, Default)",ㅊ,"채무자가 채무의 내용에 따른 이행을 하지 않는 것을 말한다. 채무의 내용에 따른 이행이라고 볼 수 없다는 것은 법률의 규정, 계약의 취지, 거래의 실행, 신의성실의 원칙 등에 비추어 적당한 이행을 하지 않는 것을 말한다.
채무의 불이행은 이행지체와 이행불능, 불완전이행의 3종류로 구분된다. 부작위채무에 있어서는 경업피지에 위반하는 경업행위를 행하는 것과 같이 채무자가 금지되어 있는 행위를 하였을 경우에 채무불이행이 성립한다.
채무불이행이 성립한 경우, 채무 본래의 이행이 가능하면 강제이행을 할 수 있고, 담보권을 실행할 수 있으며, 계약을 해제할 수 있는 등의 효과가 발생하지만 가장 주요한 효과는 손해배상을 청구할 수 있다는 것이다.
어느 경우라도 위와 같은 채무자의 책임이 발생하기 위하여서는 원칙적으로 채무불이행이 채무자의 책임으로 돌아갈 사유에 의하여 발생할 것을 요하며, 그 입증책임은 일반적으로 채무자에게 있는 것으로 해석하는 것이 오늘날의 판례와 통설이다."
채무불이행자명부(債務不履行者名簿),ㅊ,"채무불이행자명부란 일정한 금전채무를 일정기간내에 이행하지 아니하거나 명시절차에 있어서 처벌대상이 되는 행위를 한 채무자에 관한 일정사항을 법원의 재판에 의하여 법원과 채무자의 본적지 행정관서에 비치하는 장부로서, 법원은 이 장부를 일반인의 열람에 공하게 함으로써 채무자를 강제하고 일반인에게 신용조사를 용이하게한다(민사소송법 제524조의9).
이 명부에는 채무자의 성명, 본적, 주소, 주민등록번호 및 채무명의와 불이행한 채무액을 표시하고 등재사유 및 등재연월일이 기재된다(다만, 채권자의 인적사항은 기재하지 않음). 명부는 카드식으로 하여 가나다순으로 정리하며 이 명부의 부본을 채무자의 본적지(법인은 주사무소 소재지)의 시ㆍ구ㆍ읍ㆍ면의 장에게 송부하여 10년간 비치하며, 누구나 열람 또는 등사청구를 할 수 있다(법 제524조의11).
명부 등재는 채무자가 확정판결, 지급명령, 조서등에 의하여 금전채무를 부담하고도 6월내에 채무를 이행하지 않는 경우나 정당한 사유없이 명시기일에 불출석하거나 재산목록의 제출, 또는 명시선서를 거부하거나 허위의 목록을 제출한 경우에 강제집행이 용이하다고 인정할만한 명백한 사유가 없음을 소명하는 자료를 첨부하여 해당법원에 서면으로 신청하며, 신청이 이유있으면 법원은 채무자를 채무불이행자명부에 등재하는 결정을 하여 채권자를 채무자에게 상당한 방법으로 고지하며, 신청요건이 구비되지 못하면 신청을 기각한다."
처마높이,ㅊ,건축법에서 처마높이란 지표면으로부터 건축물의 지붕틀 또는 이와 유사한 수평재를 지지하는 벽ㆍ깔도리 또는 기둥의 상단까지의 높이를 의미한다(건축법시행령 제119조제1항제6호).
처분문서(處分文書),ㅊ,"어떤 문서가 처분문서라고 할 수 있기 위하여는 증명하고자 하는 공법상 또는 사법상의 행위가 그 문서에 의하여 행하여 졌음을 필요로 하고 그 문서의 내용이 작성자 자신의 법률행위에 관한 것이라 할지라도 그 법률행위를 외부적 사실로서 보고, 기술하고 있거나 그에 관한 의견이나 감상을 기재하고 있는 경우에는 처분문서가 아니라 보고문서라고 할 것인 바, 상법에 체결된 매매계약의 이행여부와 그 계약이 유효하게 존속하는가 여부에 기억내용 및 의견을 기재한 것일 뿐 이에 의하여 증명하고자 하는 어떤 행위가 行하여진 것이 아님이 분명한 문서는 보고문서라고 할 것이다(대법원 1987.06.23, 제2부판결87다카400)."
처분행위(處分行爲),ㅊ,"민법에서의 처분행위는 다음과 같이 2가지로 해석된다.
1. 관리행위에 대응하는 개념으로서, 재산의 현황 또는 그 성질을 변하게 하는 사실적 처분행위(가옥의 파괴) 및 재산권의 변동을 발생하는 법률적 처분행위(가옥의 매각ㆍ주식의 입질)를 총칭한다. 민법은 행위능력이나 권한을 정함에 있어서 때때로 이 관념을 사용한다.
2. 채무부담행위에 대응하는 개념으로서, 재산적 가치를 이전해야 할 채무를 발생함에 그치는 행위(채무부담행위)에 대하여 직접 이것을 이전하는 효과를 발생하는 행위를 가리킨다. 예컨대 매매에 있어서 목적물 이전채무나 금전소유권을 이전을 하는 행위가 처분행위이다. 물권행위와 유사한 관념이라고 할 수 있다."
철거재개발(Redevelopment),ㅊ,"주택재개발방식의 하나로, 도시재개발을 협의로 해석할 때 이를 전면재개발 또는 철거재개발이라 한다. 전면재개발은 밀집시가지, 불량시가지 또는 비위생주택지를 대상으로 하면서 기존 건축물을 전반적으로 제거해서 새로운 건축물과 공공용지를 확보 할 수 있는 계획적 시가지정비를 하는 도시계획사업이다.
지역환경이 악화되어 도시기능과 주거생활이 그 자체로서는 도저히 허용될 수 없는 일정한 대상지역에 대해 토지이용계획을 수립해서 적정한 건축물과 가로, 주차장, 공원 등 도시시설을 재정비하는데 목적이 있다."
철도(鐵道),ㅊ,철도라 함은 철의 궤도(軌道)를 부설하고 차량을 운전하여 여객과 화물을 운송하기 위하여 필요한 설비를 말한다(철도법 제2조제1항).
철도용지(鐵道用地),ㅊ,지적법에서는 교통운수를 목적으로 하여 일정한 궤도등의 설비와 형태를 갖추어 이용되는 토지와 이에 접속된 역사ㆍ차고ㆍ발전시설 및 공작창등 부속시설물의 부지의 지목은 철도용지로 한다(지적법시행령 제5조). 철도용지는 지적도에서 “철”로 표기된다.
첨부(添附),ㅊ,"첨부라 함은 소유자가 각기 다른 두 개의 이상의 물건이 결합하거나 물건에 노력이 결합한 경우 이의 복구를 허용하지 않고서 그것을 어느 한 사람의 소유로 귀속시키고자 하는 것을 말한다.
첨부는 소유자를 달리하는 두 개 이상의 물건이 결합하여 하나의 물건이 되는 경우(混和)나, 타인의 물건을 가공하여 새로운 물건이 생긴 경우(加工)를 모두 포함한다. 혼화와 가공을 총칭하여 添附(첨부)라고 부른다.
첨부는 이것을 원상으로 회복하는 것이 불가능하지 않을지라도 사회경제적 입장에서 보아 심히 불이익하므로 원상으로 다시 복귀시키지 않고 첨부의 상태로 소유권의 귀속이 정하여진다.
즉 일정한 자가 원시적으로 그 소유권을 취득하고 원래의 물건에 대한 다른 소유권 및 그 물건에 대한 권리는 소멸한다. 이 권리의 소멸에 의하여 손실을 입은 소유권자 및 그 밖의 권리자들은 부당이득의 법리에 의하여 구상권을 행사할 수 있다."
청구권(請求權),ㅊ,"청구권이라 함은 채권의 본질적 내용을 이루는 것으로서 특정인이 다른 특정인에 대하여 작위 또는 부작위의 일정한 행위를 요구할 수 있는 권리를 말한다.
권리실현을 위하여 그 타인의 행위를 필요로 하는 점에서 객체를 직접지배하는 지배권과 근본적으로 다르다. 또한 타인이 청구에 응하지 않을 때에는 권리의 실현을 위하여 국가의 조력을 얻어야 한다. 채권은 그 대표적인 청구권이다.
다만, 채권은 모두 청구권이지만 청구권 모두가 채권은 아니다. 그밖에 지배권인 물권이 어떠한 형태로 그 원만한 지배형태가 방해되었을 때에 생기는 물권적 청구권이나, 부양청구권, 부부간의 동거청구권 등의 가족법상의 청구권도 이에 포함된다."
청문(聽聞),ㅊ,"청문이라 함은 행정청이 어떠한 처분을 하기에 앞서 행정처분의 대상자인 당사자등의 의견을 직접 듣고 증거를 조사하는 절차를 말한다(행정절차법 제2조제1호).
부동산중개업법에서는 건설교통부장관, 시ㆍ도지사 또는 등록관청이 거래정보사업자의 지정취소나 중개사무소의 개설등록취소, 공인중개사 자격의 취소를 하기 위해서는 청문을 실시하도록 규정하고 있다.
행정청은 청문을 실시하고자 하는 경우에 청문이 시작되는 날부터 10일전까지 처분하고자 하는 원인이 되는 사실과 처분의 내용 및 법적 근거 등의 사항을 당사자등에게 통지하여야 한다(행정절차법 제21조). 기타 행정절차법에서는 청문의 절차 등에 관한 상세한 규정을 두고 있다."
청산(淸算),ㅊ,"청산이라 함은 해산에 의하여 본래의 활동을 정지한 법인(청산법인) 또는 단체가 잔무를 처리하고 재산을 정리하여 완전히 소멸할 때까지의 절차를 말한다. 참고로 법인의 소멸되기 위해서는 해산 및 청산절차를 거쳐야 하며, 회사는 파산ㆍ합병 이외의 원인으로 해산한 때에 반드시 청산절차가 따르게 된다. 파산에 의하여 해산할 때에는 파산법의 절차에 의한다.
법정청산은 청산인이 이 사무를 행하는데 청산사무의 내용은 현존사무의 종결, 채권의 추심과 채무의 변제, 재산의 환가처분, 잔여재산의 분배 등이다"
청산금(淸算金),ㅊ,"환지방식의 도시개발사업(토지구획정리사업 등)에 있어 환지를 하는 경우 종전토지에 대응하여 환지할 경우, 감정 또는 환지기술상 적응환지를 하지 못하고 증환지, 감환지 또는 환지를 부지정하게 되는 경우가 발생된다. 이 경우 증환지된 부분에 대하여서는 그 증가부분에 대하여 금전을 징수하고 감환지나 환지부지정의 경우에는 그에 상당하는  금전을 교부하여야 된다. 이 때 금전의 징수 또는 교부액을 청산금이라 한다.
기타 주택재개발사업이나 재건축, 조합주택의 건설 등의 경우에도 사업의 이익이나 손실을 조합원에게 배분하는 경우에 징수 또는 교부금액도 청산금이라고 한다."
"청약(請約, offer)",ㅊ,청약이란 승낙(낙약)과 함께 일정한 내용의 계약을 성립시킬 것을 목적으로 하는 일방적 의사표시를 의미한다. 청약만으로는 계약이 성립하지 않으므로 법률행위가 아니라 청약은 법률사실이다. 승낙으로써 계약은 곧 성립하므로 청약을 할 자를 유인하는 청약의 유인과는 다르다.
청약부금(請約賦金),ㅊ,85m2(25.7평) 이하의 민영주택을 청약할 수 있는 주택부금을 말한다.
청약예금(請約預金),ㅊ,민영주택 청약을 위한 예금으로서 은행이 취급하는 목적부정기예금이다.
청약저축(請約貯蓄),ㅊ,국민주택 청약우선권이 부여되는 적립식 저축을 말한다. 국민주택이나 국가ㆍ지방자치단체ㆍ대한주택공사 또는 지방공기업법에 의한 지방공사에서 건설하는 85제곱미터이하의 주택-국민주택 등-을 공급받기 위하여 가입한다(주택건설촉진법시행규칙 제14조의2).
체비지(替費地),ㅊ,"환지방식의 도시개발사업(토지구획정리사업)의 사업시행자가 도시개발사업법의 규정에 의거 사업구역 내의 토지소유자 또는 관계인에게 동 구역내의 토지로써 사업비용을 부담하게 할 경우에 그 토지를 체비지라 한다. 이에 관하여 환지예정지가 지정된 때에는 시행자는 사업의 비용에 충당하기 위하여 이를 사용 또는 수익하게 하거나 이를 처분할 수 있고, 처분되지 아니한 체비지는 사업시행자가 환지처분의 공고가 있은 날의 익일에 그 소유권을 취득한다."
체육용지(體育用地),ㅊ,"지적법에서는 국민의 건강증진과 여가선용에 이용할 목적으로 일정한 구역내에 체육활동에 적합한 시설과 형태를 갖춘 종합운동장ㆍ실내체육관ㆍ야구장ㆍ골프장ㆍ스키장ㆍ승마장ㆍ경륜장등 체육시설의 토지와 이에 접속된 부속시설물의 부지의 지목은 체육용지로 한다. 다만, 체육시설로서의 영속성과 독립성이 미흡한 정구장ㆍ골프연습장ㆍ실내수영장ㆍ체육도장등, 유수를 이용한 요트장ㆍ카누장등, 산림을 이용한 야영장등의 토지를 제외한다(지적법시행령 제5조). 체육용지는 지적도에서 “체”로 표기된다."
초지(草地),ㅊ,"초지라 함은 다년생개량목초의 재배에 이용되는 토지 및 사료작물재배지와 목도ㆍ진입도로ㆍ축사 및 부대시설을 위한 토지를 말한다. 이때 사료작물재배지라 함은 조사료를 생산하기 위하여 일년생작물을 재배하는 토지를말한다(초지법 제2조제1호, 제2호)."
촉탁등기(囑託登記),ㅊ,"부동산등기는 당사자의 신청이 있어야 할 수 있으나, 예외적으로 관공서의 촉탁이 있으면 등기를 할 수 있다(부동산등기법 제27조). 촉탁에 의한 등기의 절차에 대하여는 법률에 다른 규정이 있는 경우를 제외하고는 신청으로 인한 등기에 관한 규정을 준용한다.
경매에서 경매신청의 등기나 경락자에 대한 경매를 원인으로한 등기는 법원의 촉탁에 의해 등기관이 등기를 하는 촉탁등기가 행해진다."
최고(催告),ㅊ,"상대방에 대하여 일정한 행위를 할 것을 요구하는 통지로서 그 성질은 상대방 있는 일방적 의사의 통지이다. 최고가 규정되어 있는 경우에는 일정한 효과가 부여된다. 최고는 두 가지로 나눌 수 있다.
첫째는 의무자에 대하여 의무의 이행을 최고하는 경우이다. 채권자가 채무자에 대하여 하는 이행의 청구가 그 예인데, 만약 채무자가 최고에 응하지 않는 경우에는 履行遲滯, 시효의 중단, 계약해제권의 발생 등의 효과가 생긴다. 시효의 중단으로 인해 또 소멸시효가 진행되는 권리도 최고가 있으면 6개월 연장된다. 이행지체를 이유로 계약을 해제할 때에도 상당한 기간을 정하여 최고하여야 한다.
둘째는 권리자에 대하여 권리의 행사 또는 신고를 최고 하는 경우이다. 만일 권리자가 최고에 응하지 않는 경우에는 그 효과로서 권리행사의 제한을 받는다."
최고가입찰자(最高價入札者),ㅊ,"법원경매에서 개찰결과 최고의 가격으로 입찰하고 소정의 입찰보증금을 제출한 자로 판명된 자를 최고가입찰자로 결정한다. 최고의 가격으로 응찰하고 입찰보증금도 제출한 자가 2인 이상일 경우에는 그들만을 상대로 추가입찰을 실시하도록 하고 있다(민사소송법 제665조).
추가입찰을 실시하였는데 또다시 2인 이상이 최고의 가격으로 응찰한 경우에는 그들 중에서 추첨에 의하여 최고가입찰자를 정한다(민사소송규칙 제159조의9)."
최고고도지구(最高高度地區),ㅊ,도시계획지구중 최고고도지구란 도시의 환경과 경관을 보호하고 과밀방지를 위하여 건축물높이의 최고한도를 정할 필요가 있는 지구(도시계획법시행령 제30조제2호)를 의미한다.
최저경매가,ㅊ,법원경매에서 입찰 할 수 있는 최저 가격을 의미한다. 최저경매가격 이하로 입찰에 응한 경우에는 그 입찰은 무효로 한다.
최저고도지구(最低高度地區),ㅊ,도시계획지구중 최저고도지구란 토지이용을 고도화하고 도시경관을 보호하기 위하여 건축물높이의 최저한도를 정할 필요가 있는 지구(도시계획법시행령 제30조제2호)를 의미한다.
추심명령(推尋命令),ㅊ,"추심명령이란 압류채권자가 채무자를 대위하는 절차를 거침이 없이 피압류채권의 목적인 급부를  제3채무자에게 청구, 이를 수령하여 집행채권의 변제에 충당할 권한(추심의 권한)을 집행채권자에게 부여하는 집행법원의 재판을 말한다.
채권자체는 채무자에게 남아 있다는 점에서 채권의 귀속(채권자의 지위) 자체가 변경되는 전부명령과 구별된다.
예를 들어 甲이 乙에게 100만원을 받을 채권이 있고, 乙의 丙에게 100만원을 받을 채권이 있을 경우, 甲은 乙에 대한 위 금100만원의 채권의 만족을 얻기 위하여 乙의 丙에 대한 위 금 100만원의 피압류채권에 대해 추심명령을 신청하여 발령받으면 甲은 丙에 대하여 위 금 100만원을 직접 청구하여 추심할 수 있다. 만약, 제3채무자인 丙이 임의로 변제하지 아니하면 추심의 소를 제기해야한다.
추심받은 돈에 대하여는 채권자가 법원에 추심신고를 할 때까지 채무자의 다른 채권자의 배당요구가 없으면 자신의 채권의 변제에 충당하여 채권의  완전한 만족을 얻을 수 있으며, 만일 다른  배당요구자가 있는 경우 이를 공탁하고 배당절차에서 자신의 채권액 비율로 배당을 받아 채권의 만족을 얻을 수 있다."
추정(推定),ㅊ,"법령에서 추정이란 일정한 사실관계에 관하여 통상 예측되는 사태를 전제로 일련의 사실을 추측하여 그 법령상의 취급을 정하는 것으로서, 이 법령용어가 사용되는 경우에는 법률상 취급을 일단 단정하여 이것이 원래의 사실과 다른 경우에는 명확한 증거를 제시하여 그 추정사실을 부정할 수 있다."
축척변경(縮尺變更),ㅊ,축척변경이라 함은 지적도나 임야도의 정밀도를 높이기 위하여 다른 축척으로 변경하는 것을 말한다(지적법 제2조제12호).
"취득비용(取得費用, acquisition cost expenses) = 취득원가(取得原價)",ㅊ,"토지나 건물 등의 자산을 취득하기 위해 소요된 비용을 의미한다. 즉, 중개수수료나 법무사수수료, 등기비용, 인지세, 계약서작성비용, 권리분석을 위해 소요된 비용 등이 취득비용에 포함된다."
취득세(取得稅),ㅊ,"취득세는 부동산ㆍ차량ㆍ기계장비ㆍ입목 등의 취득에 대하여 당해 취득 물건 소재지의 도(道)에서 그 취득자에게 부과하는 세금을 의미한다(지방세법 제105조제1항). 취득세의 과세표준(課稅標準)은 취득당시의 가격으로 한다. 다만, 연부로 취득하는 경우에는 연부금액으로 한다.
취득세액은 취득물건의 가액 또는 연부금액의 1000분의 20에 해당하는 금액이며, 사치성 재산ㆍ법인의 비업무용 토지는 5배의 중과세가 되고, 대도시내의 공장 신설ㆍ증설, 과밀억제권내의 법인의 부동산취득은 3배의 중과세가 된다(동법 제112조).
취득세의 과세표준은 조례로 정하는 바에 따라 취득자의 신고에 의한다. 다만, 신고 또는 신고가액의 표시가 없거나 그 신고가액이 대통령령이 정하는 바에 의한 시가표준액에 미달하는 때에는 시가표준액에 의한다(동법 제111조제1항ㆍ제2항)."
